,ID,Prompt,Representations,Auto_assessment,Task,Task_specific_label,img2img_instructions,Linked_prompts
107,108,three sheep and twice as many refrigerators,"sheep, refrigerator",True,Simple arithmetic,"3,6",,"1726,1803"
108,109,three baseball gloves and twice as many bowls,"baseball glove, bowl",True,Simple arithmetic,"3,6",,"1804,1805"
109,110,three benches and twice as many refrigerators,"bench, refrigerator",True,Simple arithmetic,"3,6",,"1795,1803"
110,111,six bicycles and twice as many zebras,"bicycle, zebra",True,Simple arithmetic,"6,12",,"1782,1806"
111,112,six sinks and twice as many keyboards,"sink, keyboard",True,Simple arithmetic,"6,12",,"1807,1797"
112,113,six carrots and twice as many benches,"carrot, bench",True,Simple arithmetic,"6,12",,"1808,1795"
113,114,six umbrellas and twice as many stop signs,"umbrella, stop sign",True,Simple arithmetic,"6,12",,"1809,1810"
114,115,six scissors and twice as many birds,"scissors, bird",True,Simple arithmetic,"6,12",,"1811,1739"
115,116,six airplanes and twice as many cell phones,"airplane, cell phone",True,Simple arithmetic,"6,12",,"1799,1800"
116,117,six knives and twice as many sheep,"knife, sheep",True,Simple arithmetic,"6,12",,"1738,1726"
117,118,six microwaves and twice as many bicycles,"microwave, bicycle",True,Simple arithmetic,"6,12",,"1812,1782"
118,119,six motorcycles and twice as many refrigerators,"motorcycle, refrigerator",True,Simple arithmetic,"6,12",,"1813,1803"
119,120,six forks and twice as many trains,"fork, train",True,Simple arithmetic,"6,12",,"1771,1814"
120,121,two toothbrushes and three times as many couches,"toothbrush, couch",True,Simple arithmetic,"2,6",,"1715,1815"
121,122,two sinks and three times as many scissors,"sink, scissors",True,Simple arithmetic,"2,6",,"1807,1811"
122,123,two baseball gloves and three times as many scissors,"baseball glove, scissors",True,Simple arithmetic,"2,6",,"1804,1811"
123,124,two cats and three times as many stop signs,"cat, stop sign",True,Simple arithmetic,"2,6",,"1749,1810"
124,125,two bicycles and three times as many remotes,"bicycle, remote",True,Simple arithmetic,"2,6",,"1782,1816"
125,126,two sheep and three times as many snowboards,"sheep, snowboard",True,Simple arithmetic,"2,6",,"1726,1817"
126,127,two bananas and three times as many hot dogs,"banana, hot dog",True,Simple arithmetic,"2,6",,"1765,1818"
127,128,two handbags and three times as many trucks,"handbag, truck",True,Simple arithmetic,"2,6",,"1819,1820"
128,129,two bears and three times as many couches,"bear, couch",True,Simple arithmetic,"2,6",,"1793,1815"
129,130,two cars and three times as many mice,"car, mice",True,Simple arithmetic,"2,6",,"1728,1821"
130,131,four snowboards and three times as many dining tables,"snowboard, dining table",True,Simple arithmetic,"4,12",,"1817,1822"
131,132,four trains and three times as many skateboards,"train, skateboard",True,Simple arithmetic,"4,12",,"1814,1801"
132,133,four remotes and three times as many skateboards,"remote, skateboard",True,Simple arithmetic,"4,12",,"1816,1801"
133,134,four toilets and three times as many sports balls,"toilet, sports ball",True,Simple arithmetic,"4,12",,"1823,1824"
134,135,four fire hydrants and three times as many microwaves,"fire hydrant, microwave",True,Simple arithmetic,"4,12",,"1825,1812"
135,136,four books and three times as many forks,"book, fork",True,Simple arithmetic,"4,12",,"1826,1771"
136,137,four toothbrushes and three times as many handbags,"toothbrush, handbag",True,Simple arithmetic,"4,12",,"1715,1819"
137,138,four bears and three times as many skateboards,"bear, skateboard",True,Simple arithmetic,"4,12",,"1793,1801"
138,139,four hair driers and three times as many suitcases,"hair drier, suitcase",True,Simple arithmetic,"4,12",,"1792,1827"
139,140,four carrots and three times as many cups,"carrot, cup",True,Simple arithmetic,"4,12",,"1808,1787"
140,141,two remotes and four times as many zebras,"remote, zebra",True,Simple arithmetic,"2,8",,"1816,1806"
141,142,two toilets and four times as many stop signs,"toilet, stop sign",True,Simple arithmetic,"2,8",,"1823,1810"
142,143,two frisbees and four times as many donuts,"frisbee, donut",True,Simple arithmetic,"2,8",,"1828,1829"
143,144,two trains and four times as many sinks,"train, sink",True,Simple arithmetic,"2,8",,"1814,1807"
144,145,two surfboards and four times as many skateboards,"surfboard, skateboard",True,Simple arithmetic,"2,8",,"1830,1801"
145,146,two toothbrushes and four times as many broccolis,"toothbrush, broccoli",True,Simple arithmetic,"2,8",,"1715,1831"
146,147,two birds and four times as many pizzas,"bird, pizza",True,Simple arithmetic,"2,8",,"1739,1832"
147,148,two refrigerators and four times as many benches,"refrigerator, bench",True,Simple arithmetic,"2,8",,"1803,1795"
148,149,two suitcases and four times as many potted plants,"suitcase, potted plant",True,Simple arithmetic,"2,8",,"1827,1833"
149,150,two baseball gloves and four times as many stop signs,"baseball glove, stop sign",True,Simple arithmetic,"2,8",,"1804,1810"
150,151,six keyboards and half as many wine glasses,"keyboard, wine glass",True,Simple arithmetic,"6,3",,"1797,1834"
151,152,six teddy bears and half as many benches,"teddy bear, bench",True,Simple arithmetic,"6,3",,"1802,1795"
152,153,six ties and half as many wine glasses,"tie, wine glass",True,Simple arithmetic,"6,3",,"1835,1834"
153,154,six frisbees and half as many boats,"frisbee, boat",True,Simple arithmetic,"6,3",,"1828,1716"
154,155,six potted plants and half as many bicycles,"potted plant, bicycle",True,Simple arithmetic,"6,3",,"1833,1782"
155,156,six ties and half as many bottles,"tie, bottle",True,Simple arithmetic,"6,3",,"1835,1836"
156,157,six frisbees and half as many handbags,"frisbee, handbag",True,Simple arithmetic,"6,3",,"1828,1819"
157,158,six trucks and half as many toothbrushes,"truck, toothbrush",True,Simple arithmetic,"6,3",,"1820,1715"
158,159,six suitcases and half as many bananas,"suitcase, banana",True,Simple arithmetic,"6,3",,"1827,1765"
159,160,six spoons and half as many sinks,"spoon, sink",True,Simple arithmetic,"6,3",,"1763,1807"
160,161,twelve wine glasses and half as many stop signs,"wine glass, stop sign",True,Simple arithmetic,"12,6",,"1834,1810"
161,162,twelve motorcycles and half as many zebras,"motorcycle, zebra",True,Simple arithmetic,"12,6",,"1813,1806"
162,163,twelve sports balls and half as many laptops,"sports ball, laptop",True,Simple arithmetic,"12,6",,"1824,1837"
163,164,twelve keyboards and half as many toasters,"keyboard, toaster",True,Simple arithmetic,"12,6",,"1797,1838"
164,165,twelve scissors and half as many toothbrushes,"scissors, toothbrush",True,Simple arithmetic,"12,6",,"1811,1715"
165,166,twelve parking meters and half as many toilets,"parking meter, toilet",True,Simple arithmetic,"12,6",,"1839,1823"
166,167,twelve beds and half as many cows,"bed, cow",True,Simple arithmetic,"12,6",,"1840,1791"
167,168,twelve keyboards and half as many wine glasses,"keyboard, wine glass",True,Simple arithmetic,"12,6",,"1797,1834"
168,169,twelve teddy bears and half as many benches,"teddy bear, bench",True,Simple arithmetic,"12,6",,"1802,1795"
169,170,twelve ties and half as many wine glasses,"tie, wine glass",True,Simple arithmetic,"12,6",,"1835,1834"
170,171,six ties and a third as many bottles,"tie, bottle",True,Simple arithmetic,"6,2",,"1835,1836"
171,172,six frisbees and a third as many handbags,"frisbee, handbag",True,Simple arithmetic,"6,2",,"1828,1819"
172,173,six toothbrushes and a third as many cups,"toothbrush, cup",True,Simple arithmetic,"6,2",,"1715,1787"
173,174,six books and a third as many potted plants,"book, potted plant",True,Simple arithmetic,"6,2",,"1826,1833"
174,175,six books and a third as many hot dogs,"book, hot dog",True,Simple arithmetic,"6,2",,"1826,1818"
175,176,six wine glasses and a third as many sandwiches,"wine glass, sandwich",True,Simple arithmetic,"6,2",,"1834,1841"
176,177,six dining tables and a third as many zebras,"dining table, zebra",True,Simple arithmetic,"6,2",,"1822,1806"
177,178,six benches and a third as many skateboards,"bench, skateboard",True,Simple arithmetic,"6,2",,"1795,1801"
178,179,six apples and a third as many bicycles,"apple, bicycle",True,Simple arithmetic,"6,2",,"1727,1782"
179,180,six dogs and a third as many tennis rackets,"dog, tennis racket",True,Simple arithmetic,"6,2",,"1748,1842"
180,181,twelve trains and a third as many traffic lights,"train, traffic light",True,Simple arithmetic,"12,4",,"1814,1843"
181,182,twelve backpacks and a third as many couches,"backpack, couch",True,Simple arithmetic,"12,4",,"1844,1815"
182,183,twelve cups and a third as many benches,"cup, bench",True,Simple arithmetic,"12,4",,"1787,1795"
183,184,twelve bowls and a third as many backpacks,"bowl, backpack",True,Simple arithmetic,"12,4",,"1805,1844"
184,185,twelve boats and a third as many snowboards,"boat, snowboard",True,Simple arithmetic,"12,4",,"1716,1817"
185,186,twelve books and a third as many skateboards,"book, skateboard",True,Simple arithmetic,"12,4",,"1826,1801"
186,187,twelve sandwiches and a third as many keyboards,"sandwich, keyboard",True,Simple arithmetic,"12,4",,"1841,1797"
187,188,twelve apples and a third as many bicycles,"apple, bicycle",True,Simple arithmetic,"12,4",,"1727,1782"
188,189,twelve parking meters and a third as many motorcycles,"parking meter, motorcycle",True,Simple arithmetic,"12,4",,"1839,1813"
189,190,twelve hot dogs and a third as many trains,"hot dog, train",True,Simple arithmetic,"12,4",,"1818,1814"
190,191,eight bowls and a quarter as many toasters,"bowl, toaster",True,Simple arithmetic,"8,2",,"1805,1838"
191,192,eight vases and a quarter as many hot dogs,"vase, hot dog",True,Simple arithmetic,"8,2",,"1845,1818"
192,193,eight bicycles and a quarter as many surfboards,"bicycle, surfboard",True,Simple arithmetic,"8,2",,"1782,1830"
193,194,eight parking meters and a quarter as many cats,"parking meter, cat",True,Simple arithmetic,"8,2",,"1839,1749"
194,195,eight donuts and a quarter as many cars,"donut, car",True,Simple arithmetic,"8,2",,"1829,1728"
195,196,eight backpacks and a quarter as many sandwiches,"backpack, sandwich",True,Simple arithmetic,"8,2",,"1844,1841"
196,197,eight teddy bears and a quarter as many couches,"teddy bear, couch",True,Simple arithmetic,"8,2",,"1802,1815"
197,198,eight dogs and a quarter as many wine glasses,"dog, wine glass",True,Simple arithmetic,"8,2",,"1748,1834"
198,199,eight birds and a quarter as many frisbees,"bird, frisbee",True,Simple arithmetic,"8,2",,"1739,1828"
199,200,eight hair driers and a quarter as many benches,"hair drier, bench",True,Simple arithmetic,"8,2",,"1792,1795"
200,201,a kitchen without any utensils,kitchen,True,Negation,utensil,,1846
201,202,a bedroom without any furniture,bedroom,True,Negation,furniture,,1847
202,203,a desert without any cacti,desert,True,Negation,cactus,,1848
203,204,a garden without any grass,garden,True,Negation,grass,,1849
204,205,a room with no furniture,room,True,Negation,furniture,,1850
205,206,a cave without any bats,cave,True,Negation,bat,,1851
206,207,a garden with no flowers,garden,True,Negation,flower,,1849
207,208,an ocean with no boats,ocean,True,Negation,boat,,1721
208,209,a city with no cars,city,True,Negation,car,,1852
209,210,a street without any pedestrians,street,True,Negation,pedestrian,,1853
210,211,a tree that has no leaves,tree,True,Negation,leaf,,1737
211,212,a balloon without any strings,balloon,True,Negation,string,,1766
212,213,a table without any utensils,table,True,Negation,utensil,,1854
213,214,a lake without any lily pads,lake,True,Negation,lily pads,,1855
214,215,a table with no chairs around it,table,True,Negation,chair,,1854
215,216,a house without any windows,house,True,Negation,window,,1711
216,217,a stadium without any spectators,stadium,True,Negation,spectator,,1856
217,218,a field without any sheep,field,True,Negation,sheep,,1857
218,219,a bedroom without any pillows,bedroom,True,Negation,pillow,,1847
219,220,a kitchen without any stoves,kitchen,True,Negation,stove,,1846
220,221,a beach with no people,beach,True,Negation,people,,1858
221,222,a fireplace without any logs,fireplace,True,Negation,log,,1859
222,223,a backyard without any birds,backyard,True,Negation,bird,,1860
223,224,a cityscape without a skyscraper,cityscape,True,Negation,skyscraper,,1861
224,225,an ocean without any boats,ocean,True,Negation,boat,,1721
225,226,a park with no benches,park,True,Negation,bench,,1862
226,227,a hallway without any paintings,hallway,True,Negation,painting,,1863
227,228,a house without a roof,house,True,Negation,roof,,1711
228,229,a coast without any boats,coast,True,Negation,boat,,1864
229,230,a field without any horses,field,True,Negation,horse,,1857
230,231,a door without any knobs,door,True,Negation,knob,,1865
231,232,a mountain without any snow,mountain,True,Negation,snow,,1770
232,233,a bed without any sheets,bed,True,Negation,sheet,,1840
233,234,a street without any buildings,street,True,Negation,building,,1853
234,235,a crowd without any children,crowd,True,Negation,child,,1866
235,236,a boat with no oars,boat,True,Negation,oar,,1716
236,237,a barn without any hay,barn,True,Negation,hay,,1867
237,238,a river without any waterfalls,river,True,Negation,waterfall,,1868
238,239,a road with no cars,road,True,Negation,car,,1869
239,240,a park without any children,park,True,Negation,child,,1862
240,241,an apple without a stem,apple,True,Negation,stem,,1727
241,242,a boat without any sailors,boat,True,Negation,sailor,,1716
242,243,an office without any computers,office,True,Negation,computer,,1870
243,244,a bookshelf without any books,bookshelf,True,Negation,book,,1871
244,245,a school without any students,school,True,Negation,student,,1872
245,246,a river with no water,river,True,Negation,water,,1868
246,247,a book without any pages,book,True,Negation,page,,1826
247,248,a lawn that is not mowed,lawn,True,Negation,mowed,,1873
248,249,a field with no sheep,field,True,Negation,sheep,,1857
249,250,a cloudy sky without any birds,cloudy sky,True,Negation,bird,,1874
250,251,a river without any ducks,river,True,Negation,duck,,1868
251,252,a meadow without any animals,meadow,True,Negation,animal,,1875
252,253,a tent without any campers,tent,True,Negation,camper,,1876
253,254,a house without any people,house,True,Negation,people,,1711
254,255,a park without any swings,park,True,Negation,swing,,1862
255,256,a desk without a chair,desk,True,Negation,chair,,1757
256,257,a field with no trees,field,True,Negation,tree,,1857
257,258,a bathroom with no towels,bathroom,True,Negation,towel,,1877
258,259,a plate without any food,plate,True,Negation,food,,1878
259,260,a yard without any toys,yard,True,Negation,toy,,1879
260,261,a park without any playground equipment,park,True,Negation,playground equipment,,1862
261,262,a living room without a television,living room,True,Negation,television,,1880
262,263,an ocean without any waves,ocean,True,Negation,wave,,1721
263,264,a window without any curtains,window,True,Negation,curtain,,1881
264,265,a lake without any swans,lake,True,Negation,swan,,1855
265,266,a forest without any animals,forest,True,Negation,animal,,1882
266,267,a plate with no food,plate,True,Negation,food,,1878
267,268,a lake that is not frozen,lake,True,Negation,frozen,,1855
268,269,a cat without any whiskers,cat,True,Negation,whisker,,1749
269,270,a concert without an audience,concert,True,Negation,audience,,1883
270,271,a bathroom without any mirrors,bathroom,True,Negation,mirror,,1877
271,272,a building without any doors,building,True,Negation,door,,1708
272,273,a pond without any ducks,pond,True,Negation,duck,,1884
273,274,a sunset that does not include a beach,sunset,True,Negation,beach,,1885
274,275,a beach without any umbrellas,beach,True,Negation,umbrella,,1858
275,276,a garden without any trees,garden,True,Negation,tree,,1849
276,277,a parking lot without any vehicles,parking lot,True,Negation,vehicle,,1886
277,278,a park without any picnic tables,park,True,Negation,picnic tables,,1862
278,279,a barn without any horses,barn,True,Negation,horse,,1867
279,280,a hallway without any doors,hallway,True,Negation,door,,1863
280,281,a store without any customers,store,True,Negation,customer,,1887
281,282,a sunset without any clouds,sunset,True,Negation,cloud,,1885
282,283,a kitchen without a sink,kitchen,True,Negation,sink,,1846
283,284,a flower without any petals,flower,True,Negation,petal,,1888
284,285,a beach without any people,beach,True,Negation,people,,1858
285,286,a shopping mall without any stores,shopping mall,True,Negation,store,,1889
286,287,a river without any bridges,river,True,Negation,bridge,,1868
287,288,a restaurant without any customers,restaurant,True,Negation,customer,,1890
288,289,a lake with no boats,lake,True,Negation,boat,,1855
289,290,a barn without any animals,barn,True,Negation,animal,,1867
290,291,a car with no wheels,car,True,Negation,wheel,,1728
291,292,a dining room with no table,dining room,True,Negation,table,,1891
292,293,a cat without any fur,cat,True,Negation,fur,,1749
293,294,a cake without any icing,cake,True,Negation,icing,,1794
294,295,a church without any benches,church,True,Negation,bench,,1892
295,296,a shoe without any laces,shoe,True,Negation,lace,,1893
296,297,a swimming pool without any swimmers,swimming pool,True,Negation,swimmer,,1894
297,298,a classroom without any desks,classroom,True,Negation,desk,,1895
298,299,a cup without any coffee,cup,True,Negation,coffee,,1787
299,300,a train station without any trains,train station,True,Negation,train,,1896
300,301,Goat looking at a bag,"goat, bag",False,Directed actions,looking at,,"1897,1898"
301,302,Albatross looking at a water bottle,"albatross, water bottle",False,Directed actions,looking at,,"1899,1900"
302,303,Beaver touching a pen,"beaver, pen",False,Directed actions,touching,,"1901,1902"
303,304,Cat biting a pen,"cat, pen",False,Directed actions,biting,,"1749,1902"
304,305,Skunk looking at a book,"skunk, book",False,Directed actions,looking at,,"1903,1826"
305,306,Wallaby poking a hat,"wallaby, hat",False,Directed actions,poking,,"1904,1905"
306,307,Swan sitting on a watch,"swan, watch",False,Directed actions,sitting on,,"1768,1906"
307,308,Seagull looking at a hat,"seagull, hat",False,Directed actions,looking at,,"1907,1905"
308,309,Cow eating a flower,"cow, flower",False,Directed actions,eating,,"1791,1888"
309,310,Wombat kicking a chair,"wombat, chair",False,Directed actions,kicking,,"1908,1796"
310,311,Pig kicking a guitar,"pig, guitar",False,Directed actions,kicking,,"1909,1910"
311,312,Chipmunk touching a spoon,"chipmunk, spoon",False,Directed actions,touching,,"1911,1763"
312,313,Wombat kicking a chair,"wombat, chair",False,Directed actions,kicking,,"1908,1796"
313,314,Lamb looking at a watch,"lamb, watch",False,Directed actions,looking at,,"1912,1906"
314,315,Ferret touching a hat,"ferret, hat",False,Directed actions,touching,,"1913,1905"
315,316,Parrot touching a chair,"parrot, chair",False,Directed actions,touching,,"1914,1796"
316,317,Deer touching a pen,"deer, pen",False,Directed actions,touching,,"1915,1902"
317,318,Elk biting a hat,"elk, hat",False,Directed actions,biting,,"1916,1905"
318,319,Vulture kicking a doll,"vulture, doll",False,Directed actions,kicking,,"1917,1918"
319,320,Penguin kicking a ball of yarn,"penguin, ball of yarn",False,Directed actions,kicking,,"1919,1920"
320,321,Moose looking at a watch,"moose, watch",False,Directed actions,looking at,,"1921,1906"
321,322,Vulture biting a watch,"vulture, watch",False,Directed actions,biting,,"1917,1906"
322,323,Deer biting a ball of yarn,"deer, ball of yarn",False,Directed actions,biting,,"1915,1920"
323,324,Sea Lion biting a pen,"sea lion, pen",False,Directed actions,biting,,"1922,1902"
324,325,Falcon biting a chair,"falcon, chair",False,Directed actions,biting,,"1923,1796"
325,326,Weasel poking a chair,"weasel, chair",False,Directed actions,poking,,"1924,1796"
326,327,Zebra poking a doll,"zebra, doll",False,Directed actions,poking,,"1806,1918"
327,328,Owl sitting on a ball of yarn,"owl, ball of yarn",False,Directed actions,sitting on,,"1746,1920"
328,329,Seal sitting on a bag,"seal, bag",False,Directed actions,sitting on,,"1925,1898"
